hero
LITTLE, ABNER
PRESIDENT ITOES [TRI
CAPTAIN AMERICA IV/S
DADDY LONGLEGS/RAMSE
RAGAR
VIRA
BROTHER TODE
BROOP
MADAME SLAY
EPHESUS
ARCTURUS
REVELATION II/
WOLVERINE SKRULL
SOTEIRA
MELLACE, LUCY SANTIN
BLAIR, CALEY
WESSEL, HARRY
GEESEY, KARL
STANLEY, TOM
IT
DR. VAULT
O'BRYAN, BOB
DELAZNY, DORIAN
MARSHALL, GRANT
MAGMA II/JONATHAN DA
RHODES, MRS.
CROSS-WALLACE, SIR G
WOODGOD
LEONINUS
PINTA
DOVINIA
MINOTAURUS
KING, HANNIBAL/HENRY
DR. SUN
DOOMSDAY MAN
DESTRUCTOR/PROFESSOR
KASTYX
KASEMA
KATANA/
FIST/
BLUDGEON/
COTTONMOUTH
ANDERSON, MARJORIE
SABOTEUR/
NIVENA, JOANNA
JONES, HUGH
KREIGER, SIMON
ANDERSON, NICKY
GAMELIN, JOHN T J.T.
ANDERSON, CHET
HARRISON, COL. EDWAR
BASILISK II
CLARIS, SVEN
VEDA
VAMP
DEKKER, GENERAL LYLE
MARTIN, ASHLEY
AVIA
ARNSTROM
KRUEGER
MR. LUCK II/PHILIP G
NHU'ABDAR
M'KUMBA
DELUGE
SAKAA
RAMA KALIPH
NAMORA/AQUARIA NAUTI
DORCAS, LEMUEL DR.
RINGER/ANTHONY TONY
TOY
BALE, EMERSON
BUTTONS
COWEN, ELAINE
ENFORCER/DELAZNY
MAN-BULL/BULL TAURUS
BLANDING, MRS.
BLANDING, ANDREW
TANTE MATTIE
ELLENTHORPE, MARIAH
FIREBALLS/JACK FARLE
STEPHANAPOULUS, COSM
MENGOCHAUZERAUS, STA
CONOWAY, SEKMEHT
LEBEAU, JEAN-LUC
ANUBAR, ANWAR
BRES
BEREET
MASON, LOUISE
ISBISA/DR. SANDERSON
MASON, WANDA
VINYL, MILO
SPRAGG
SCALEFACE/
GARTH
BLACK TALON II/SAMUE
KEEPER OF THE COMICS
EROS
VENUS/APHRODITE/VICT
LIVING ERASER
CLAYTON, KATRINKA JA
ARCHER, ULYSSES SAMS
SMYTHE, SPENCER
MANH, COY TRANH
BUKOWSKI, BUCK
THERMO/DR. WALTER MI
GAIA
MEMBRAIN/
VESSEL
FEVER PITCH/
WRAP
SORROW/
ADVERSARY
CROSSBOW
ICONOCLAST
CHAPMAN, DEVIN
POLOMBO, CATHY
CLAY, GORDON
DUBOIS, HERVE
LEVESSEUR, LARENT
STARR, AARON
EXALT
FERRO2
JOYBOY
SCATTERBRAIN
NUMBERS
HARD BOILED HENWY
WAXWORK
CHINA DOLL
GATECRASHER
THUG
BODYBAG
YAP
RINGTOSS
CHUNG, LAO WEI
GRAY, SGT.
AGUIRRE, ISOBEL
REISZ, RAY
CONAN, NEAL
GULADKIN
UTGARD-LOKI
SUNDANCE
SLAUGHTER
STRIKER
ULTIMATOR/
CHESNEY, SANFORD
GOLDFIRE/AMEIKO SABU
STERMAN, ANDREA ANDI
FONTREAUX, GUY
TOPSPIN/DARREN MITCH
PATTON, JESS
THOUSAND
QUEEN KNORDA/NORA QU
TAUREY, SIR WILLIAM
SHALLA BAL
THANE ECTOR
SYBYL DORN
FOOL
NAKKA
BUSH, GEORGE
OLAR
ONEG
NEZARR
EQUILIBRIUS
SILVER FOX II/ZORA D
CASSADA, CARLOS
CASSADA, MICHAEL
CASSADA, ROBERTO
CASSADA, ROSA
LOBO, CARLOS
ATOM SMASHER II/
PRAZNIKI, SYLVIA
GAUNT, OFFICER KIM
NICHOLS, LORNA
KAMINARI
CURZON, DETECTIVE IN
TAKAHASHI, REI
UNICORN II/
NIMROD III
STRONG, MARTIN HENRY
HIDALGO, DETECTIVE J
GUTHRIE, JOSH
GAR-TOOM
PETRIE, JUDGE RICHAR
SENTINELS
MULDOON, TEXAS JACK
BREWER, DR. MELINDA
TERROR II
HOCHBERG, ROGER
ARVAK
IKARYS
JASON II
G'ANYM
SHAKATI
P'KRRD, CAPTAIN
QUASAR II
HOBGOBLIN
DELPHOS
MENTOR II
ESON II
TITAN
FANG II
ASTRA
TRASK, RAYMOND
CHAMPION/TRYCO SLATT
NOVA 0:0
STAR THIEF III/DITMI
WARHEAD/GREGORY SLIV
PLANNER
SURESHOT
THERA
DEADHEAD
MAXOV
KID QUARRY
DANTE
ARMADA
ADORA
STRANGLER
ADORA CLONE
MURDER
LEBEAU, JACQUE
MARCEAUX, BELIZE
MENGOCHAUZERAUS, GRI
GRIS-GRIS
EXALTED ONE
MARCEAUX, THEOREN
ALOUETTE, GENARD
QUESTA
LAPIN, EMIL
FIFOLET
LEBEAU, MERCY
SINGER
POITIER, CLAUDE
TITHE COLLECTOR
RAYMOND, HENRY/ADAM
MUELLER, AMANDA
ISHIHARA, ZOE
NEW SUN
PARK, ARCHIE
SKYE
WOLFGANG
FROG MAN/FROG LE BLA
ARSENAL
BEERE, JASON
BIG BEN/
CICERO, CAESAR BIG C
BERNSTEIN, EMMA WEBS
MR. DEATH
SETH II
CHAN, SARAH
ROSE, MICHKA
CROSSBONES II/
PARSON/
GUINNESS
K'AD-MON
OUTRIDER II/MARTIN Z
MARLOWE, STEVE JR.
SOMERS, KATHY
BARBAROSSA, MARIO
MARLOWE, STEVE
SALOME
WILD ONE
BROTHER WONDERFUL/DR
SWARM/FRITZ VON MEYE
CARRION
SPAULDING, JILL
OTOMO
KATU
ANON, LORD
REANDEAU, DR.
KYLUN/COLIN MCKAY
MERLYN
FERON
CAPTAIN U.K./LINDA M
TAL, GENERAL
ETZION, GENERAL
MANNING, JANICE
WILCOX, DR. BRENT
JACK SERIOUS/DR. JOH
LOOPNER, LEXINGTON
NOSFERATA/PURPLE HAY
SITTING BULLSEYE/
TILLIE THE HUN/MATIL
DR. ANGST/FLOYD MANG
BLACK HOLE/MORTON KI
SPANKER/FRED HOVEL
CRITIC
CARRERA, MIA
FATE, IAN
SACK
HEMINGWAY
REVERB
SANTA CLAUS/NICK ST.
BRICKMAN, GLORIA
STONECOLD/
EVER
ATKINSON, MAJ. EDMON
BROWSER
CHASE, TREVOR
RETREAD
GUNDERSON, COL. ROLA
GERARD, TERENCE
HENSHAW, CURTIS
ROYTON, RAYMOND
DRUMM, COLLETTE
MAX
SHIVER MAN
JACKSON, BRENT
T
A
MR. X
BLOK
MO MONEY
ARYAN
BATTLE, MONTGOMERY
MAUVIUS
AKULIA
ELLINGTON, DR./TRAVI
KANE, LARRY
OTHER II
ROSE, JUSTICE
ROSE, HENRIETTA
DARK MOTHER/FINALITY
CLARITY/
MOORE, CONNIE
SHERMAN, GEN.
ANDERSON, GINA
CASPER
SPOOKY
AUSTIN, GEN.
WENDY
DEUTSCH, GEN.
BONITA
KNOBLACH, GERTRUDE H
CYANIDE JANE
KNOBLACH, GLORIA
KNOBLACH, HANS
JONES, JOHN
STROUGHTON, WILLIAM
REAVES, VERNON
WORTHINGTON, WARREN
DAZZLER/BURTRAM WORT
SNAGG
WIZ KID/TAKESHI MATS
CROTUS
FIREBRAND III/RICHAR
WRANGLER II/EMILY DO
GRON
JONES, MAGGIE
NIXON, RICHARD
AGENT AXIS/
SABUKI, DR. SAM
BULLSEYE
SUPER-PATRIOT
HATE-MONGER II
SSSESTHUGAR
WEED
WALKER, SHERIFF CHAN
WALKER, TESS
TULAK
SAMEDAR
FIREBOLT
NUNTOO
TAREE
TAKAR
RECOIL/
BLACKWELL
NAILS/
MANTLO, BILL
RAPIDO
OUTLAW/NIGEL HIGGINS
SNAKEBITE/
SINCLAIR, MORGAN
BENTLEY, MILES
TARANTULA II/CAPT. L
ROBINSON, LUCY
MARTIN, TERI
MESSENGER, TOBIAS
CARTER, TAD
MIDWIFE
MORRISON, JESSICA
MORRISON, AMANDA PAY
AFTERLIFE
MORDO, ASTRID
POLTERGEIST/MICKEY S
GLITCH/CHARLES J. AM
ANGEL IV
METOXO
DISCUS
HIBBERT, HOPE
HIBBERT, ELLEN
BUEL
TREVORIK
WHITE KING
MUNROE, N'DARE
STURDY, PROF. KENNET
STANCHEK, DR.
HELLEN
THURM, ETHAN
DMITRI
HILARY
KUTUZOV, COL.
STARK, ISAAC
DEPAUL, SHIELD SPECI
ASBERY, SHAMARI
BISON/BILLY KITSON
WHYTEOUT/STUART ANTH
BOWDEN, DENNIS
WILDSTREAK
O'KEEFE, CHANDRA
DENNIS, MARTY
VIRTUAL REALITY
TYCHO
SKADI
WORMWOOD
KANDRA
MIST
HANRANSHA/ASAHI
DORREK [SKRULL]
RUBINO, STEVE HEADSE
POWELL, OFFICER MIKE
POWELL, GRACE
COLON, CHERYL
OMEGA-20/EUGENE
SCYTHE/
AXIS/
LOCKE, DR. ALEXANDER
TYPHOON/
BLACKJACK/
KATYUSHA/
HOWLER/LUKE GARROW
REFLEX/
DARE, ROSSALYN
VULCAN/
SCOTT, JAKE
CHIMERA/ZUHN
LIBERTY GIRL/BEV
REBOUND/
RUMOR/
YANKEE CLIPPER/PAT C
VON VOLTZMANN, FRITZ
CEAUSECU, IONEL
HUGO, CAPTAIN EDVARD
ZORN
MACRAE, TRUTH
PRINCESS ZAFINA
CARMODY, MARY
KHADIJAH
JAMEEL
SOCRATES SOCK
HAUPTMAN
DABUTA, NIGEL
TUATARA/COMMANDER AR
SENTRY 571
DANVERS, MRS. JOE
SNOW, VICTORIA
ROCKETLAUNCHER/
ROBERTS, CHESS
SILVANI, VITTORIO
BOOBYTRAP/
SHEFFIELD, LEAH
HANRAHAN, GORDON
SMOKESCREEN/
FIREFIGHT/
DE LA SPIROSA, COUNT
NICODEMUS
SCRATCH, NICHOLAS
DADDY WRONGLEGS
LO, JIMMY
DAMAGE
LORELEI
TRASK, LAWRENCE LARR
CHALMERS, JUDGE ROBE
ALBINO/DR. AUGUSTA S
XIANDU
RA'AL
BARAK
A'YIN
SCRIBE
CROSSAN, ANNIE
NEBULO
ZARATHOS
SMITH, DR. ARMSTRONG
COOPER, TERI
GYPSY MOTH
TICKTOCK
D'KAY
TIGER WYLDE
FORTUNE
ZONE
YOUNG, MAX
BRADDOCK, JOHN
BUCKMAN, EDWARD
UNION JACK III/JOEY
SHAW, JACOB
SHAW, ESAU
WORTHINGTON, MAJOR G
WORTHINGTON, ELIZABE
SHAW, OBADIAH
SHAW, SARAH
SHAW, HIRAM
BIRD, TUESDAY
AEGIS/TREY ROLLINS
REANIMATOR/
BERNIE
RIP
FERA
VIENNA
CRIME-BUSTER/
CARETAKER
BLACKOUT II/
BADALINO, LT. MICHAE
TURK II
AGENT-X/
FUANARO, RENEE
WEI, LINDA
BLAZE, EMMA
D'AURIA, JACK
BLAZE, CRAIG
HAG/
SNOWBLIND/
TROLL/
SUICIDE/CHRIS DANIEL
MENNINGER, CLARA
STERN
THERMITE/
FOXFIRE/OLIVIA UNDER
MASTER MENACE/DR. EM
REDSTONE/
MOONGLOW/
DR. DECIBEL/ANTON DE
APE-X/XINA
INERTIA/
RENO, AGENT
MECHAMAGE/
HARVEY, SUE
RAMOS, ROGER
MCKNIGHT, BOB
HOUSTON, LT. COMMAND
SISTER SALVATION
SPORE
LA BANDERA
GEIST
AKUTAGAWA, OSAMU
SMART ALEC/ALEC THOR
STITCH/
SAINT ELMO
GROUNDHOG/SEAN BENAR
STILES, TATJANA
KLEIN, SUMMER
NAVARRO
DANIELS, BRIE
FONG, LI
LOCKLIN, GENERAL MER
ADAMS, CINDY
AMERICAN EAGLE III/J
ADAMS, GEORGE
SCANNER/SKERA
SEEKER/TARM
JUTTA
MURRAY, WILLIAM T. B
SUWAN
DREADKNIGHT/BRAM VEL
BURRTHROP, T. BARTON
W'KANDRO
NAKOTA
FANG III
LILITH II
LANGFORD, DR. DAVID
PILGRIM
STRANGE
GLAMOUR GIRL/GLORIA
AIRBORNE/
THERAK
ATTRACTIVE LAD/AUNDR
BEACH, SPIDER
CARLISLE, JENNA
VONYA, DR. ANATOLY
VOLGA BELLE/
SCATTERSHOT/NATALIA
PSI-WOLF/NIKOLAI VON
SIBERION
FIELDS, TRACI
PORTAL/CHARLES LITTL
PHANTAZIA/
BAZIN, ANDREW
BAZIN, BRODERICK RIC
POWELL, JONATHAN
MARLEY, MITCH MADMAN
BAZIN, ALLEGRA
ZAFAR, OFFICER JIMMY
POWELL, JASON
LODESTONE/ANDREA
IDNAR
MADAME ROSE
HARRIS, MONROE
SAVAGE STEEL/HARRY L
MALONE, JULIUS
ADAMS, NICOLE NIKKI
KILLMONGER, ERIC/N'J
QUEEN DIVINE JUSTICE
RAMONDA
WIBBOW
ZCANN
MANAT
BARTOS
DIBDEB
P'KAR
AVIOS
KREDDICK
ALBERIK
FAYRELYTE STRONGHEAR
SINTARIIS
BASALTAR
STILETTO
COCKROACH/
GAPON, DZHOKHAR
PREYY
ACHEBE, REVEREND DOC
T'CHAKA
WHITE WOLF/HUNTER
VINCENT, DANNY
SIMON, ALEX FLORES
SAROYAN, NEAL
LOVECCHIO, ARGUS
SPLICE II/
SLICE/
SCRIPPS, LAHOYA
PHILIPS, PHILIP
BEACH, GINGER
GAMMA-BURN/
MCCAMBRIDGE, MEGAN
LONGARM/
DR. SPECTRUM III/REV
SCARLET CENTURION
ULTIMO
NAIP, SYNTHIA
DARK ONE
HAUPTMANN ENGLAND
SHRINE
SHANE, BRIDGIT
KARMA 2013
TANGERINE 2013
PSYLOCKE 2013
DOUGLOCK 2013
WOLFSBANE 2013
MEGGAN 2013
WISDOM, PETE 2013
SCRATCH
QUENTINO
SANDMAN DOPPELGANGER
DR. DOOM DOPPELGANGE
POWELL
CHEN
CATHODE/
KLEINFELDT, LORNA
SNARE
PETROVITCH, DMITRI
GEATAR
GATTLING/
KYMRI
CRUSHTACEAN
ANUBIA
KOMODO
FLYING FOX
BUZZARD
PORGA
MOWAT, FARLEY
WARKOVSKY, SEN.
VRIES, KALI
MAGRUDER, ALLIE
MONOCLE
NOVA-PRIME
MORLAK, MARIS
COMET/HARRIS MOORE
SCORPIO/JAKE FURY
DARK WIND/KENJI OYAM
FARGO, FLAGG
RAKESH
ELECTRA
GALTUS
ECSTACY/MME. RENE DE
GREEN, ARNIE
KHAT
JUNIPER
KATOS
GORN
DANIA
KESTRUS
NITAL, DR.
CORONER
TENEBRAE
BRAHMANES
SAMA-D
CY-PHYRR 4
CROMWELL, HAMILTON
SAWYER, RYAN
CARPATHIAN, ANDREW
JESSUP, DR.
HORTON, DOUGIE
CHAIN
WOLFE, HEDY
THINGEE
DOCTOR, DR. JOSHUA
BENNY, JAKE
FILLMORE, GARRET
FILLMORE, BETTY
NUTT
LILLIAN, BEA
KING (OF THE SEWER P
SANTOS, JOSE
HUNGYR
COMMANDER BLAZE
HARRIER
SCORCH/TOMMY NG
MROTH
PYLLAR
ALISTRO
SLAYER/
HSU, CHEN
DEWITT, KEARSON
ROM CLONE
DEVASTATOR II/GREGOR
ELECTRYON
INDIGO, ODYSSEUS
ASTARTE
RY'LOR
HALLOWEEN JACK
FOGELSTROM, HIRAM
DANVILLE, SEN. OWEN
SWITCH/DEVON ALOMAR
CALDERONE, HANNAH
PARADIGM
KING BEDLAM/CHRISTOP
ARMAGEDDON MAN
HOLIDAY, JORDAN
GUTHRIE, TYLER
GUTHRIE, LUKE
FOGG, ARCHIMEDES ARC
DELPHI II
DONNELY, VICTORIA TO
DEVILLE, ARCADIA
SEBASTIAN, MARISSA
COLLINS, BRADBURY
DRAGONBLOOD, ULYSSES
DEMON BEAR
SANDOVAL, JULIANA
TAREVA
ST. THOMAS, JULES
DIEGO, MANUEL
AGED GENGHIS
VON DOOM, CYNTHIA
YEE, WAI CHEE
GLOB/DR. SUMNER BECK
DR. STRANGE DOPPELGA
SHAZANA
RINTRAH DOPPELGANGER
VAZHIN, ALEXEI MIKHA
LEVIN, MAJOR DEBRA
HOGGOTH
OSHTUR
BOUNCER
BLISS
CYLLA II
WATOOMB
DENAK
IKONN
CYTTORAK
RAGGADORR
MUNIPOOR
MOTHER-OF-PAIN
YGMLOSVORRAICH
GRIEFSAVOR
PAPA GRANITE
GREER, GABRIELLE
FACADE
COOPER, COLE
POWELL, AMY
BRYCE, ARCHER
CHASE, DETECTIVE SLO
BAKER
TSUNG, MARCUS
CHARLIE
ABEL
TRAVELER
WISDOM, ROMANY
HAMILTON, PAUL
ROMAN, DR. NILES
FORD
VOGEL
QUEEN OF STAR SWORDS
SLOAN, JASON
WHEELER, M'KONI MARY
WHEELER
AKAFE
NORTH, DAKOTA
OMORO
HENCKEL, MARIA
N'GAMO
ZET
ULARA
JEXIA
TYRUS KRILL
ZINGH
SMERDILOVISC, VICTOR
BENGAL/
LU, MR.
TRASK, DR. BOLIVAR
FURMINTZ, HARMON
SYPHONN
DEAN, DARBY
DEAN, SUSAN
WITCHFIRE
NEMESIS
SILVER
HAGGERT, BOB
MARAUDER II
TARGET
FALK, DR. JENNIE
KUROKO/
JAWBREAKER/
TAIFU/TOSHIO SASAKI
TRADER
BELDAME
THUNDERBIRD III/NEAL
BROADSIDE
KILLIAN
GOTH
COIL
GYRE
TORQUE II
RINGLET
HELIX II
RAX
JUNCTION
BIG CASINO/
DELGADO, RUFUS
SOLE, RANSOME
DOMINA
ANTEUS
ELYSIA
KILMER
HUNTER/JAEGER
TARTARUS
SETH III
SALVO
SANGUINE
WANDERER
KITANG
TARNOK-KOL
KRUSH
THERNON
MASTON-DAR
FURY, NICK L.M.D.
VULTURE II/BLACKIE D
GRANDE DAME
DEVOOR, ALBERT
SABU
FEUER
HAUS
KIRKEGAARD
TWEEDLEDOPE
RINGO KID
KID COLT
DEATHRAVEN/JOSHUA RA
SNIDER, DET. LOU
TORK, LT.
SAVAGE STEEL II/ARTH
MANDARIN, JAMES
ADRIA
DIRGE/
REQUIEM/
LAMENT/
REVENANT/
GALADRIEL
MANACLE/
CUDGEL/
FARAHD
KURASOV, SIMYON BORI
SKETCH/
WEBWING
GOROTH
STAR HAMMER
KONIEV, IRINI
KONIEV, DMITRI
BLOODY BESS
VOGE, TULLAMORE
GODSTALKER
ARKANIAN, GLIB
GRASSWIND, Z'OOFREY
LEEBRE, VEEDA
STECK'EE
JARA
JELLA, PRIVATE
HAV-ROGG
BAV-TEK
ZEY-ROGG
SHYM'R
PHILLIPS, SIR GORDON
MACTAGGART, JOE
MYLZOB'RYN, CHIEF
LYTH'KA, COMMANDER
VAVELLA
PIRANHA II/
PRIMO, ALEXIS
KLAER
ADAM X
HELKOOKY
TAGAK
LUNATIK/ARISEN TYRK
AGON
RYNDA
MARISTA
SPIRAL II/ESTELLE GE
RAZORFIST IV/MARCO S
KALIKYA [INHUMAN]
WILLIAMS, NILES
CARLTON, LUCY
COFFY, DET.
CARLTON, JAKE
HALL, MORGAN
ADAMS, CONGRESSMAN H
MINISTER BLOOD
SMASHER II
SHUMA-GORATH
ESON [CELESTIAL]
ZARIN
DRUIG
HULK ROBOT
DROMEDAN
SIGMAR
GAARK
TAROOK
EKAK
NASH, SABRINA
NASH, JOHN JOHNNY TH
D.K./DAVID KALEN
PROWLER III/RICK LAW
BROWN, MINDY MCPHERS
ANNALEE
ROTH, DR. GERALD
TOWNSEND, CHRIS
CHTYLOK
MENTUS
STONECUTTER/UTAMA TO
BLACK BRIGADE
NUGENT, ALICE
EMBER
TREMONT, JONATHAN
LORD TEMPLAR/
REVER, BRAD
WARGOD/MORA HAGER
REVER, DAN
HAGER, GENERAL
DUNER, MAJOR
RYANS, JIM
SURGEON GENERAL/ANGE
BUCKY VI/
VON STRUCKER, WERNER
IZANAMI II
WORD II/
GEDDINGS, JUDITH GHO
LUCAS, JAMES JR.
MEDINA, ANALISA MARI
ANDREWS, DARYL TROOP
HARDCORE/
SHOCKWAVE ROBOT
RAZORFIST ROBOT
GRIMM, PETUNIA PENNY
DIGGER II/
WATER WITCH/
HAMMERHAND
STARSHINE/LANDRA
BOULDER/
BENJAMIN, BYRON
JAVELIN/DARIN
RAINBOW
MUNSON
CHAMBLISS
WEALS, MELVIN J.
REBO
SMITH, ANDY
SMITH, HELEN BACK
SHAARA, SANJIT
SHAARA, MRS.
SHAPANDER, KARIMA
BLACK DEATH/DR. IVAN
BRAHAMS
KRAGAR
MOJO II
DRISCOLL, MAYOR
NIRA
PET
FLEET, TAMARA
WENDIGO IV/MICHAEL F
JESTER III
VOLKHVY
RENKO, DR. IRENO
SUPREME COMMANDER
ORPHAN
MUNDY, SHANE
DREAMGUARD/DEPUTY WI
SKEWER
BROKER
SKULLBUSTER
SUPER-ANDROID F-4
WILSON, LOUIS
RICOCHET RITA
NORTH, RICKY
RIESER, ROB
YAYAUHCO
ZODIAK/NORMAN HARRIS
LORD LEADER
ZOM
TAYLOR, JENNA
BYRNES, TIM
BROWN, FRANK
WATSON, MADELINE
KILLDRAGON, HARMONY
RED RAVEN II
SQUIRREL GIRL/
KEEVER
POWERHOUSE II/
BROOKS, ANNA
THORPE, LUKE
GOONER, MELVIN
STYX II
RANDOM
UNCEGILA
VIGIL
NUGENT
VITCHEN
BRUTUS KLOR
HEDRON
VILIVEN
THOG
PHEMOUS
MALEVOLENCE
SIFFROR
MOLGOTHA
GLEEG
ALCHEMY/THOMAS JONES
JESTER II
RED QUEEN
KNAVE
EXECUTIONER IV
ANTI-PHOENIX
NECROM
SHADOWCAT 2013
KLEIN, SHIRLEY
BRANSON
KEMEL, MEHMET
KLEIN, STANLEY
GROVES, GEN. MCALLIS
DAVID, PETER
BUSIEK, KURT
ALANYA
WITHERS
ENGLEHART, STEVE
SHARK/
HYENA/HENRY MORTONSO
DELAZNY, CHARLES L.
MALICE II
CODY
LUDI
NINGAL
RUIZ, DR. BERNARDO
VIBRANIA/SHARA
KALMARI
CRIMSON DYNAMO/PROF.
MIDGET
KNICK KNACK
RINGLEADER
TENPIN/ALVIN HEALEY
BLUE STREAK/
CYCLONE
STEEPLEJACK II/MAXWE
HELLRAZOR
GRAPPLER
EL JAGUAR
RADD, FENNAN
MINDWORM/WILLIAM TUR
AIR WALKER/ARLO SAMU
BLACK RAZER
PANTHER CUB/
STERLING
MISS THING/MARY
AMAZO-MAXI-WOMAN/
DARLEGUNG, GEN.
SWORDSMAN IV/
SERESTUS
HARGEN
NAGA
ANDERSSEN, TANYA
TIMBERIUS II
TALISMAN
COLLECTIVE MAN
DEFENSOR
WENDIGO/PAUL CARTIER
BI-BEAST
IMMORTUS, MARCUS
ANTOINETTE, MARIE
BERSERKER
SHARP, TRINA
GEIGER/DELILAH DEEDE
PATCHWORK/KYLE BARKE
PINKERTON, RUDY
TARGON
FURGAR
SAPPHIRAS
CYNAS
PORCAL
FLORES, JAMIE
FORTHWARD, KENT
WONDER MAN DOPPELGAN
PHIM, FATHER
ANGKOR
ROCKWALL
THOMAS, DR. JOHN
MASTER MOLD
MARKO, KURT
NEEDLE
WORD
ULTIMA
BRAINSTORM/
PEARLA
TOLLIVER, SHERIFF JO
SOUSA, PAUL
APPLEBAUM, PHANTASY
COLLINS, EMMA
MASTERMIND III
RADCLIFFE, TODD
BRADDOCK, JAMES
BRADDOCK, ELIZABETH
FIN/PETER NOBLE
FROST, CORDELIA
BARRINGTON
TUPA
KAISHEK, KIA
RECKLESS ERIC/
VANCE REBUS/
PIGSKIN/
HARDWIRE/
CARGO
MINI MAX/
CROWE, GERONIMO
DEMOLITION MAN DOPPE
MALTZ
SEWARD, JANE
SEWARD, ELISABETH
SEWARD, DR. CHARLES
SEWARD, ANNE
ARMAND
PENNINGTON, AUDRA
FLORESCU, ANTON
MARVEL WOMAN | MUTAN
STORM, JOHNNY | MUTA
FIRESTAR | MUTANT X-
RICHARDS, REED | MUT
DOC SAMSON | MUTANT
YELLOWJACKET II | MU
STINGRAY | MUTANT X-
FURY, NICK | MUTANT
VENDETTA | MUTANT X-
LACE/
LEATHER/
MIFUNE, DR.
RASPUTIN
MARTINEZ, MR.
MARTINEZ, AKASHA
STEED, JOHN
POPEYE
FENSTER, RICHARD
CRIMSON DYNAMO IV/YU
HUNTSMAN
DIONYSUS [GREEK GOD]
MASTER OM
SENREICH, GUNTHER
FORRESTER, DR. CEDRI
FENTON, BARNEY
CORONA/DAGNY FORREST
SPERZEL, ANTON
GAMESMASTER/JEREMY
WEISMAN, DR.
MIRAGE III/MARGE
JENSKOT/ALIYA
GANGER, CARMEN
DIGGER
RODOR
BOUNTY
TINAC
GRESIG
TRYKUR
BORROB
RU
MARLOPOLIS, EDGAR
FALLON, HOWARD
REISS, JACOB
CAPTAIN BARRACUDA
LOGA
MONGU
PENNYWORTH, J.C.
ECLECTA/
VIRAKO
PSYCHE II/PSYKOS/RON
SPARX/AURELLE
DEVEREAUX, IRIS
TOMORROW HAWK/CEYOTE
CHI DEMON/PROFESSOR
PULSAR/PLOR
TRAPPER/VOLA
UNSEEN/UNAM
GRIMM, BEN | EARTH-A
RICHARDS, REED | EAR
GRIMM, SUE STORM EAR
SKY-WALKER
COPPERHEAD/LAWRENCE
TORPEDO II/MICHAEL S
JACKHAMMER
KRUEL/VICTOR KRUELLE
COGGER
STITHY, THEODORE
HELLSPAWN
ELAMRON
PARKER, PETER | TIME
PARKER, MAY | TIMESL
ALDEN, PROF. MEREDIT
JARVIS, EDWIN | TIME
STARK, MARIA | TIMES
STARK, HOWARD | TIME
STORM, SUE | TIMESLI
DR. DOOM | TIMESLIDE
GRIMM, BEN | TIMESLI
MURDOCK, MATT | TIME
MCCALL, MEREDITH | T
LUMPKIN, WILLIE | TI
FORD, GERALD
KAA
DEVASTATOR/KIROV PET
BARKER
MCCULLOUGH, DR. ANDR
WILLIFORD, BRENT
FUSION/MARKLEY
EARLE, CARYN
FREDD
OLAFSON, ERIC
PICARO/FELIPE
NOVA III/FRANKIE RAY
BLAKE, KENT
DULB
TETHRA
INDECH
CETHLANN
ELATHAN
BALOR
INTELLIGENTSIA
YORK, SANDY
HURRICANE II
BAPTISTE, TANTE MATT
SISTER KATRINA
SYBIL
ANIELLE
MARAUDER
WALKER
HILL, GEORGE
WILFORD, ETHAN
GRANITOR
MAGNOR
CUMMINGS, DIANE
SIMON, FELIX
KARGUL
KOSHIMA
GAARD/JOHNNY STORM E
MARIN, DR.
RATLIFF, OFFICER LAR
MCPHEE, LOUIE
SAINT, JOHNNY
DAY
GARM
PRIMUS
SPHINX II
ASYLUM/
JANES, FATHER MICHAE
HO, LI MUAN
BEVATRON/
BEEF/
BARRENOS, OMAR
YAMIR, SASHA
SHAUNEGHANN, MICHAEL
NUWA
COLLECTIVE MAN II
WHITE DRAGON
THREADGOLD
SCICLUNA, MICHELE
JARDINE
MASTERMIND II/BOWERS
RAMROD
EDDA
EGMA
ACBA
REE
TRANTRA
STYGIAN STARBENDER
MARVEL BOY VI
FAITH
SARDAN
THERMO II/
ANOMALY
KID REAPER
MILLER, FRANK
QUINN, ASHLEY
MCKENZIE, LYDIA
EVERETT, BILL
SMITH, KEVIN
QUESADA, JOE
DAKESIAN, NANCI
PALMIOTTI, JIMMY
LAMY, KELLY
MARTINEZ, ALITHA
GABRIEL III
BAAL II
STAHL, VERONICA
FRANKLIN, JEREMY
HECK, DON
SEVERIN, MARIE
TRIMPE, HERB
ROMITA, JOHN
MURPHY, JOBOA
MOBIUS
JEMIAH
DOCTOR MANDIBUS
THORPE, GAVIN
CRIME-MASTER/NICK LU
ROMANO, TONY
PIKE, FRISCO
WARFIST
OLD WOMAN
MILLER, TRACE
COLD WARRIOR
MENDELSON, DR. MACK
LEVITICUS
DEATHTOLL
KARSANO
ISIS
PARKER, MAY III
HATCHWAY, VERNON
RIORDAN, JIMMY
AJES'HA
CURSED LOTUS
WOO, CHOW YUN
WOO, MAI YIN
WILD TIGER/DENG LING
BERSERKER III
MENDICUS
HELLFIRE/MIKAL DRAGO
DRAGONMEGAS, JESSIE
FANTASIA
GLADIATRIX
RED GUARDIAN IV
ULTARNT
